区域,小时序号,时段,工作日负荷_kWh,周末负荷_kWh,综合典型日负荷_kWh,工作日负荷占全天_raw,周末负荷占全天_raw,综合典型日负荷占全天_raw
6,8,08-09,793,535,719.2857143,0.04315411406,0.04007490637,0.04246078597
6,9,09-10,724,668,708,0.03939921637,0.05003745318,0.04179456907
6,10,10-11,724,772,737.7142857,0.03939921637,0.05782771536,0.04354865913
6,11,11-12,1093,906,1039.571429,0.0594797562,0.06786516854,0.06136785293
6,12,12-13,1267,1010,1193.571429,0.06894862865,0.07565543071,0.07045876202
6,13,13-14,979,1152,1028.428571,0.05327601219,0.08629213483,0.06071006915
6,14,14-15,842,1267,963.4285714,0.04582063561,0.09490636704,0.05687299713
6,15,15-16,790,1155,894.2857143,0.04299085764,0.08651685393,0.05279136448
6,16,16-17,1453,1023,1330.142857,0.07907052677,0.07662921348,0.07852082982
6,17,17-18,1746,896,1503.142857,0.09501523727,0.06711610487,0.08873334458
6,18,18-19,1762,795,1485.714286,0.09588593818,0.0595505618,0.08770450329
6,19,19-20,1568,655,1307.142857,0.0853286896,0.04906367041,0.07716309664
6,20,20-21,1243,547,1044.142857,0.06764257727,0.04097378277,0.06163771294
6,21,21-22,727,427,641.2857143,0.03956247279,0.03198501873,0.03785629954
6,22,22-23,481,297,428.4285714,0.02617544623,0.02224719101,0.02529094282
6,23,23-00,241,173,221.5714286,0.01311493252,0.0129588015,0.01307977737
7,0,00-01,62,59,61.14285714,0.00880932083,0.007502543235,0.008405671865
7,1,01-02,13,0,9.285714286,0.001847115658,0,0.001276562316
7,2,02-03,8,0,5.714285714,0.001136686559,0,0.0007855768098
7,3,03-04,11,0,7.857142857,0.001562944018,0,0.001080168113
7,4,04-05,11,0,7.857142857,0.001562944018,0,0.001080168113
7,5,05-06,108,118,110.8571429,0.01534526854,0.01500508647,0.01524019011
7,6,06-07,160,176,164.5714286,0.02273373117,0.02238046796,0.02262461212
7,7,07-08,305,306,305.2857143,0.04333617505,0.03891149542,0.04196944106
7,8,08-09,241,422,292.7142857,0.03424268258,0.05366225839,0.04024117208
7,9,09-10,319,547,384.1428571,0.04532537653,0.06955747711,0.05281040104
7,10,10-11,370,675,457.1428571,0.05257175334,0.08583418108,0.06284614478
7,11,11-12,492,794,578.2857143,0.06990622336,0.1009664293,0.07950037315
7,12,12-13,555,894,651.8571429,0.07885763001,0.1136826043,0.08961467457
7,13,13-14,429,855,550.7142857,0.06095481671,0.108723296,0.07570996504
7,14,14-15,377,729,477.5714286,0.05356635408,0.09270091556,0.06565458188
7,15,15-16,317,589,394.7142857,0.04504120489,0.0748982706,0.05426371814
7,16,16-17,552,465,527.1428571,0.07843137255,0.05913021363,0.0724694607
7,17,17-18,727,351,619.5714286,0.103296391,0.04463377416,0.0851761656
7,18,18-19,602,286,511.7142857,0.08553566354,0.03636826043,0.07034840332
7,19,19-20,483,250,416.4285714,0.06862745098,0.03179043744,0.05724891001
7,20,20-21,377,176,319.5714286,0.05356635408,0.02238046796,0.04393338309
7,21,21-22,245,107,205.5714286,0.03481102586,0.01360630722,0.02826112573
7,22,22-23,197,65,159.2857143,0.02799090651,0.008265513733,0.02189795357
7,23,23-00,77,0,55,0.01094060813,0,0.007561176794
8,0,00-01,22,0,15.71428571,0.002309953801,0,0.001859050194
8,1,01-02,12,0,8.571428571,0.001259974801,0,0.001014027379
8,2,02-03,13,0,9.285714286,0.001364972701,0,0.00109852966
8,3,03-04,13,0,9.285714286,0.001364972701,0,0.00109852966
8,4,04-05,23,0,16.42857143,0.002414951701,0,0.001943552476
8,5,05-06,65,56,62.42857143,0.006824863503,0.009696969697,0.007385499408
8,6,06-07,241,125,207.8571429,0.02530449391,0.02164502165,0.02459016393
8,7,07-08,481,235,410.7142857,0.05050398992,0.04069264069,0.0485888119
8,8,08-09,680,367,590.5714286,0.07139857203,0.06354978355,0.0698664864
8,9,09-10,794,478,703.7142857,0.08336833263,0.08277056277,0.08325164779
8,10,10-11,739,611,702.4285714,0.07759344813,0.1058008658,0.08309954369
8,11,11-12,607,538,587.2857143,0.06373372533,0.09316017316,0.0694777759
8,12,12-13,532,473,515.1428571,0.05585888282,0.0819047619,0.06094304546
8,13,13-14,431,409,424.7142857,0.04525409492,0.07082251082,0.05024505662
8,14,14-15,377,356,371,0.03958420832,0.06164502165,0.04389048504
8,15,15-16,486,304,434,0.05102897942,0.05264069264,0.05134358628
8,16,16-17,665,230,540.7142857,0.06982360353,0.03982683983,0.06396822714
8,17,17-18,992,364,812.5714286,0.1041579168,0.06303030303,0.0961297955
8,18,18-19,798,471,704.5714286,0.08378832423,0.08155844156,0.08335305053
8,19,19-20,551,350,493.5714286,0.05785384292,0.06060606061,0.05839107656
8,20,20-21,436,233,378,0.04577908442,0.04034632035,0.0447186074
8,21,21-22,316,127,262,0.03317933641,0.02199134199,0.03099543688
8,22,22-23,181,48,143,0.01900461991,0.008311688312,0.01691735677
8,23,23-00,69,0,49.28571429,0.007244855103,0,0.005830657428
9,0,00-01,56,178,90.85714286,0.004810170074,0.007658878706,0.006074962748
9,1,01-02,17,118,45.85714286,0.001460230201,0.005077234198,0.003066136859
9,2,02-03,8,58,22.28571429,0.0006871671534,0.002495589691,0.001490085202
9,3,03-04,9,0,6.428571429,0.0007730630476,0,0.0004298322699
9,4,04-05,16,0,11.42857143,0.001374334307,0,0.0007641462576
9,5,05-06,105,242,144.1428571,0.009019068889,0.01041263285,0.009637794674
9,6,06-07,169,419,240.4285714,0.01451640612,0.01802848414,0.01607572689
9,7,07-08,243,716,378.1428571,0.02087270228,0.03080762446,0.0252836893
9,8,08-09,319,1084,537.5714286,0.02740079024,0.04664171077,0.03594352959
9,9,09-10,427,1501,733.8571429,0.03667754681,0.0645841401,0.04906774157
9,10,10-11,549,1915,939.2857143,0.0471568459,0.0823974872,0.06280327055
9,11,11-12,661,2095,1070.714286,0.05677718605,0.09014242072,0.07159095251
9,12,12-13,788,2285,1215.714286,0.06768596461,0.09831762833,0.08128605815
9,13,13-14,727,2156,1135.285714,0.06244631507,0.09276709264,0.07590837886
9,14,14-15,858,2038,1195.142857,0.0736986772,0.08768985844,0.07991059489
9,15,15-16,908,1806,1164.571429,0.07799347191,0.07770749968,0.07786650365
9,16,16-17,781,1549,1000.428571,0.06708469335,0.0666494557,0.06689145302
9,17,17-18,971,1312,1068.428571,0.08340491325,0.0564519599,0.07143812326
9,18,18-19,1218,1091,1181.714286,0.1046211991,0.04694290263,0.07901272304
9,19,19-20,1090,888,1032.285714,0.09362652465,0.03820833871,0.06902151072
9,20,20-21,783,725,766.4285714,0.06725648514,0.03119487113,0.0512455584
9,21,21-22,487,528,498.7142857,0.04183130046,0.02271847167,0.03334543232
9,22,22-23,316,352,326.2857143,0.02714310256,0.01514564778,0.02181637565
9,23,23-00,136,185,150,0.01168184161,0.007960070565,0.01002941963
10,0,00-01,77,115,87.85714286,0.008080596075,0.01268615554,0.009350057013
10,1,01-02,9,56,22.42857143,0.0009444852555,0.006177606178,0.002386925124
10,2,02-03,61,0,43.57142857,0.006401511176,0,0.004637020144
10,3,03-04,21,0,15,0.00220379893,0,0.001596351197
10,4,04-05,19,0,13.57142857,0.001993913317,0,0.00144431775
10,5,05-06,185,115,165,0.01941441914,0.01268615554,0.01755986317
10,6,06-07,305,236,285.2857143,0.03200755588,0.02603419746,0.03036107944
10,7,07-08,429,363,410.1428571,0.04502046385,0.04004412576,0.04364880274
10,8,08-09,369,474,399,0.03872389548,0.05228902372,0.04246294185
10,9,09-10,423,603,474.4285714,0.04439080701,0.06651958081,0.05049030787
10,10,10-11,499,716,561,0.05236646028,0.07898510756,0.05970353478
10,11,11-12,616,846,681.7142857,0.0646447686,0.09332597904,0.07255036108
10,12,12-13,736,952,797.7142857,0.07723790534,0.105019305,0.084895477
10,13,13-14,543,902,645.5714286,0.05698394375,0.09950358522,0.06870391486
10,14,14-15,481,772,564.1428571,0.05047748977,0.08516271373,0.06003800836
10,15,15-16,431,669,499,0.04523034946,0.07380033094,0.05310528316
10,16,16-17,677,546,639.5714286,0.07104627978,0.06023166023,0.06806537438
10,17,17-18,908,426,770.2857143,0.095288068,0.04699393271,0.08197643482
10,18,18-19,784,372,666.2857143,0.08227516004,0.04103695532,0.07090839985
10,19,19-20,666,303,562.2857143,0.06989190891,0.033425262,0.05984036488
10,20,20-21,548,232,457.7142857,0.05750865778,0.02559293988,0.04871151653
10,21,21-22,363,184,311.8571429,0.03809423864,0.02029784887,0.03318890156
10,22,22-23,256,128,219.4285714,0.02686535838,0.01412024269,0.02335233751
10,23,23-00,123,55,103.5714286,0.01290796516,0.006067291782,0.01102242493
