date,slot,load_forecast_kW,pv_forecast_kW,support_start_slot,support_end_slot,support_valid,support_defined
2025-01-02,101,6389.06,2.9625,0,143,0,True
2025-01-02,102,6325.1833,0.0,0,143,0,True
2025-01-02,103,6169.4734,5.9578,0,143,0,True
2025-01-02,104,6191.99,0.0,0,143,0,True
2025-01-02,105,6464.5067,0.0,0,143,0,True
2025-01-02,106,5764.0309,0.4277,0,143,0,True
2025-01-02,107,4529.45,0.0,0,143,0,True
2025-01-02,108,4490.5328,0.0,0,143,0,True
2025-01-02,109,4644.0206,0.0307,0,143,0,True
2025-01-02,110,4469.21,0.0,0,143,0,True
2025-01-02,111,4470.465,0.0,0,143,0,True
2025-01-02,112,4510.8756,0.0022,0,143,0,True
2025-01-02,113,4486.17,0.0,0,143,0,True
2025-01-02,114,4471.7293,0.0,0,143,0,True
2025-01-02,115,4439.8235,0.0,0,143,0,True
2025-01-02,116,4387.19,0.0,0,143,0,True
2025-01-02,117,4347.9765,0.0,0,143,0,True
2025-01-02,118,4300.6345,0.0,0,143,0,True
2025-01-02,119,4315.99,0.0,0,143,0,True
2025-01-02,120,4483.2744,0.0,0,143,0,True
2025-01-02,121,4551.706,0.0,0,143,0,True
2025-01-02,122,4499.8,0.0,0,143,0,True
2025-01-02,123,4535.0935,0.0,0,143,0,True
2025-01-02,124,4528.916,0.0,0,143,0,True
2025-01-02,125,4483.51,0.0,0,143,0,True
2025-01-02,126,4548.2302,0.0,0,143,0,True
2025-01-02,127,4595.6841,0.0,0,143,0,True
2025-01-02,128,4620.9,0.0,0,143,0,True
2025-01-02,129,4653.7148,0.0,0,143,0,True
2025-01-02,130,4131.9845,0.0,0,143,0,True
2025-01-02,131,3363.0,0.0,0,143,0,True
2025-01-02,132,3305.7588,0.0,0,143,0,True
2025-01-02,133,3470.932,0.0,0,143,0,True
2025-01-02,134,3521.37,0.0,0,143,0,True
2025-01-02,135,3561.5279,0.0,0,143,0,True
2025-01-02,136,3386.068,0.0,0,143,0,True
2025-01-02,137,3289.99,0.0,0,143,0,True
2025-01-02,138,3774.2552,0.0,0,143,0,True
2025-01-02,139,3883.62,0.0,0,143,0,True
2025-01-02,140,3525.14,0.0,0,143,0,True
2025-01-02,141,3553.5909,0.0,0,143,0,True
2025-01-02,142,3697.1141,0.0,0,143,0,True
2025-01-02,143,3696.7,0.0,0,143,0,True
2025-01-03,0,3622.5509,0.0,0,143,0,True
2025-01-03,1,3622.7611,0.0,0,143,0,True
2025-01-03,2,3708.23,0.0,0,143,0,True
2025-01-03,3,3750.5226,0.0,0,143,0,True
2025-01-03,4,3684.9038,0.0,0,143,0,True
2025-01-03,5,3644.14,0.0,0,143,0,True
2025-01-03,6,3809.298,0.0,0,143,0,True
2025-01-03,7,3855.1226,0.0,0,143,0,True
2025-01-03,8,3783.78,0.0,0,143,0,True
2025-01-03,9,3907.3849,0.0,0,143,0,True
2025-01-03,10,3968.2398,0.0,0,143,0,True
2025-01-03,11,3886.77,0.0,0,143,0,True
2025-01-03,12,3865.3901,0.0,0,143,0,True
2025-01-03,13,3931.6861,0.0,0,143,0,True
2025-01-03,14,4055.98,0.0,0,143,0,True
2025-01-03,15,4164.982,0.0,0,143,0,True
2025-01-03,16,4067.4326,0.0,0,143,0,True
2025-01-03,17,3919.44,0.0,0,143,0,True
2025-01-03,18,4068.323,0.0,0,143,0,True
2025-01-03,19,4140.4792,0.0,0,143,0,True
2025-01-03,20,4061.12,0.0,0,143,0,True
2025-01-03,21,4138.7041,0.0,0,143,0,True
2025-01-03,22,4283.3011,0.0,0,143,0,True
2025-01-03,23,4330.98,0.0,0,143,0,True
2025-01-03,24,4225.1585,0.0,0,143,0,True
2025-01-03,25,4201.989,0.0,0,143,0,True
2025-01-03,26,4273.9,0.0,0,143,0,True
2025-01-03,27,4219.0352,0.0,0,143,0,True
2025-01-03,28,4069.3885,0.0,0,143,0,True
2025-01-03,29,4030.95,0.0,0,143,0,True
2025-01-03,30,4262.9553,0.0022,0,143,0,True
2025-01-03,31,4330.5086,0.0,0,143,0,True
2025-01-03,32,4149.13,0.0,0,143,0,True
2025-01-03,33,4130.3346,0.0307,0,143,0,True
2025-01-03,34,4641.7286,0.0,0,143,0,True
2025-01-03,35,5411.59,0.0,0,143,0,True
2025-01-03,36,5738.8011,0.4279,0,143,0,True
2025-01-03,37,5695.3891,0.0,0,143,0,True
2025-01-03,38,5537.66,0.0,0,143,0,True
2025-01-03,39,5461.5746,5.9596,0,143,0,True
2025-01-03,40,5483.6005,0.0,0,143,0,True
2025-01-03,41,5540.88,6.6375,0,143,0,True
2025-01-03,42,5575.3367,192.5583,0,143,0,True
2025-01-03,43,5669.9633,445.6222,0,143,0,True
2025-01-03,44,5566.66,701.3625,0,143,0,True
2025-01-03,45,5081.9454,976.5695,0,143,0,True
2025-01-03,46,5737.5547,1257.8499,0,143,0,True
2025-01-03,47,7205.75,1536.3375,0,143,0,True
2025-01-03,48,7519.6199,1820.2924,0,143,0,True
2025-01-03,49,7253.8265,2132.9788,0,143,0,True
2025-01-03,50,7156.62,2471.7375,0,143,0,True
2025-01-03,51,7351.5694,2797.3932,0,143,0,True
2025-01-03,52,7430.2399,3047.7556,0,143,0,True
2025-01-03,53,7295.25,3267.2625,0,143,0,True
2025-01-03,54,7207.6569,3546.8485,0,143,0,True
2025-01-03,55,7113.8825,3726.689,0,143,0,True
2025-01-03,56,7023.12,3844.2375,0,143,0,True
2025-01-03,57,7047.9517,4096.3408,0,143,0,True
2025-01-03,58,7129.0191,4283.6623,0,143,0,True
2025-01-03,59,7151.1,4356.1125,0,143,0,True
