comparison,month,delta_total_cost_yuan,delta_planned_cost_yuan,delta_emergency_cost_yuan,delta_emergency_kWh,delta_planned_kWh
F11_joint minus F00_original (pre-registered joint comparison),2025-07,6772.394609123003,-6225.63626823714,12998.030877360252,2293.7039667819254,-7043.525579074398
F11_joint minus F00_original (pre-registered joint comparison),2025-08,-4863.937874357216,273.44734080159105,-5137.385215158782,-759.1658972422392,-2160.081142717274
F11_joint minus F00_original (pre-registered joint comparison),2025-09,-2911.433999530971,-4697.7325136763975,1786.2985141454046,271.5099014792859,-6214.81730336044
F11_joint minus F00_original (pre-registered joint comparison),2025-10,261.1821205506567,4203.033306066878,-3941.851185516327,-680.8049269617402,5360.668434091145
F11_joint minus F00_original (pre-registered joint comparison),2025-11,-1484.3050994102377,-1653.1386758547742,168.83357644466673,23.732610228572867,-1973.8068659673445
F11_joint minus F00_original (pre-registered joint comparison),2025-12,485.4538493482396,-265.41577240102924,750.8696217491306,142.48172104162222,-861.1173983393237
F11_joint minus F01_pv_support (conditional on load frozen at F01),2025-02,-4128.368440922117,-4375.768954508239,247.40051358617893,55.32897478398604,-5783.181411292637
F11_joint minus F01_pv_support (conditional on load frozen at F01),2025-03,1614.6835807736497,3358.0416618823074,-1743.3580811084066,-292.24600986962287,4515.083341994323
F11_joint minus F01_pv_support (conditional on load frozen at F01),2025-04,-2260.4412557461765,963.6614875106607,-3224.1027432568153,-472.57343403932373,1714.2355705632363
F11_joint minus F01_pv_support (conditional on load frozen at F01),2025-05,419.32568316336256,-1221.1276024504332,1640.4532856136648,279.18252694062267,-1877.9527388974093
F11_joint minus F01_pv_support (conditional on load frozen at F01),2025-06,14825.693950860063,6043.973207215546,8781.720743644459,1336.1329546851175,7659.1118202288635
F11_joint minus F01_pv_support (conditional on load frozen at F01),2025-07,6864.434074015357,-1897.9427215375472,8762.376795552911,1585.8455205697255,-955.0359074953012
F11_joint minus F01_pv_support (conditional on load frozen at F01),2025-08,4757.995016381843,413.2214922979474,4344.773524084114,637.3050318037049,-685.0333399688825
F11_joint minus F01_pv_support (conditional on load frozen at F01),2025-09,-3259.0491829165258,-3081.3972254653927,-177.6519574510312,-16.718415633721634,-4336.955258712871
F11_joint minus F01_pv_support (conditional on load frozen at F01),2025-10,1647.536395672243,4361.778114980087,-2714.24171930794,-400.4505840746176,5601.043058937183
F11_joint minus F01_pv_support (conditional on load frozen at F01),2025-11,-51.59733334230259,-215.15032319980673,163.55298985752802,22.975645408168816,25.19264459121041
F11_joint minus F01_pv_support (conditional on load frozen at F01),2025-12,233.11226893868297,276.94734614365734,-43.83507720515627,13.879380818434583,111.2831971719861
F11_joint minus F10_load_shape (conditional on PV frozen at F10),2025-02,-697.6294782408513,-902.7290833590087,205.0996051181728,4.997684804053733,-1154.2028243527748
F11_joint minus F10_load_shape (conditional on PV frozen at F10),2025-03,-1243.4052101285197,2327.681379817892,-3571.0865899462697,-525.5088672882266,2524.0410811458714
F11_joint minus F10_load_shape (conditional on PV frozen at F10),2025-04,1241.344387763762,5672.822445451864,-4431.478057688088,-640.6718913730447,9307.52179386071
F11_joint minus F10_load_shape (conditional on PV frozen at F10),2025-05,-2808.1889931644546,-2451.077666004072,-357.1113271603972,-61.583762665773975,-3513.6070311735384
F11_joint minus F10_load_shape (conditional on PV frozen at F10),2025-06,741.4979938098695,2268.243495673407,-1526.7455018632318,-192.02313871534716,2066.7903538946994
F11_joint minus F10_load_shape (conditional on PV frozen at F10),2025-07,651.3418180663139,-3842.852622529492,4494.194440595835,765.9450476739275,-5283.568503904622
F11_joint minus F10_load_shape (conditional on PV frozen at F10),2025-08,-3119.700189203024,100.52852265629917,-3220.2287118593486,-471.05642142937086,-1314.9427107267547
F11_joint minus F10_load_shape (conditional on PV frozen at F10),2025-09,-337.5051338591147,-1427.5313379382715,1090.0262040792368,159.81921903808689,-1721.0977230696008
F11_joint minus F10_load_shape (conditional on PV frozen at F10),2025-10,-1616.8574822584633,-201.25631608767435,-1415.6011661709726,-294.64554498447046,-203.05393246095628
F11_joint minus F10_load_shape (conditional on PV frozen at F10),2025-11,-1392.9761841678992,-1406.9687254715245,13.99254130349027,2.005811540064542,-1970.9639346287586
F11_joint minus F10_load_shape (conditional on PV frozen at F10),2025-12,-264.12303528096527,-675.0200612265617,410.8970259453199,60.50264467650595,-1092.4090875401162
