strategy_id,hour,planned_kWh,emergency_kWh,unused_kWh,emergency_cost_yuan
B_fixed_q80,21,1734053.7555666666,4697.314789499994,14038.315,21289.948993734804
B_fixed_q80,22,2798932.4776403285,0.0,68197.32103333336,0.0
B_fixed_q80,23,2847902.6229162556,0.0,333910.92872000247,0.0
B_adaptive,0,1231238.546187037,0.0,52178.693266925766,0.0
B_adaptive,1,1208777.9844166667,0.0,49929.34770164611,0.0
B_adaptive,2,1180692.0322346666,0.0,44046.23554835393,0.0
B_adaptive,3,1107795.5470148332,0.0,36406.88340040945,0.0
B_adaptive,4,1014560.5787378333,67.49552449999811,37986.33799593811,148.32141508874585
B_adaptive,5,957069.3588030066,1406.4730166666664,43514.95458487276,4399.26700895
B_adaptive,6,327834.54407516663,1957.4886573333363,0.0,8656.158887133013
B_adaptive,7,485105.12936406577,2001.9579743333288,19594.85278580246,9703.279913740316
B_adaptive,8,4643.297616666668,7732.555325833323,0.0,41561.00128447503
B_adaptive,9,23724.018099999976,18475.44625991769,2021.3983185185202,90501.86578345876
B_adaptive,10,166913.89832419134,10350.237637999997,47011.92857471193,49100.0856840349
B_adaptive,11,952021.7815823045,0.0,385310.32413132925,0.0
B_adaptive,12,771707.5015086419,0.0,801571.2354918055,0.0
B_adaptive,13,67105.8425,0.0,460998.52034430864,0.0
B_adaptive,14,163069.24422880655,0.0,252972.31664588477,0.0
B_adaptive,15,893344.6871584362,0.0,286848.58160177054,0.0
B_adaptive,16,1174274.2465666665,0.0,88989.00962633744,0.0
B_adaptive,17,1491151.01245,42.84777186007928,62120.767461111136,263.79230745657804
B_adaptive,18,943397.6170000001,3127.6801183333337,33314.36465123458,20767.09302893
B_adaptive,19,58634.85996666669,15917.31917183332,0.0,107301.07694482007
B_adaptive,20,567353.6414166667,72381.0131000966,0.0,490987.1811035488
B_adaptive,21,1719263.38585,6197.0845684999795,12390.048333333336,28310.863994155494
B_adaptive,22,2770099.170170118,0.0,58945.5422,0.0
B_adaptive,23,2836737.7829197533,0.0,252446.1656977903,0.0
T_base_6000,0,2157680.9079055553,0.0,15146.273117901239,0.0
T_base_6000,1,1237135.3904535894,0.0,2132.770961316879,0.0
T_base_6000,2,1170289.419930039,0.0,3453.006438065847,0.0
T_base_6000,3,1170055.7172661666,0.0,2476.1319833333337,0.0
T_base_6000,4,1088064.7496046666,3468.2027333333326,2317.8360940329226,7633.124570558998
T_base_6000,5,1104092.98396486,3669.122956000001,31510.86571851848,11729.333646066008
T_base_6000,6,250095.38654699997,7147.895653333332,0.0,31239.779374934828
T_base_6000,7,364939.23969948763,15476.074933761665,3317.2491197530803,68177.92526665969
T_base_6000,8,1500.8941166666677,37346.69239301232,0.0,199978.48785698842
T_base_6000,9,11312.582849999973,48512.46168499998,0.0,238025.48526707242
T_base_6000,10,102022.9665174897,20256.936777666684,19290.812275720153,96491.42901862916
T_base_6000,11,693573.8026561728,340.67488333333324,221007.24912777776,819.1710992749998
T_base_6000,12,590486.6623860843,0.0,430618.46924362343,0.0
T_base_6000,13,36344.82787916667,0.0,361125.1102928909,0.0
T_base_6000,14,116811.06302674898,0.0,221921.8433407407,0.0
T_base_6000,15,736430.1644897119,1427.0165223333374,129451.26636347943,5429.6030697226815
T_base_6000,16,1092961.5415583332,2650.386919833335,29794.20013566786,11840.178824527424
T_base_6000,17,1420138.0851666667,2476.3271666666665,16694.669722633753,12866.060154125
T_base_6000,18,864823.1258166666,5919.154783333332,6293.617404526748,39117.57687098332
T_base_6000,19,39206.151650000014,61679.838121477354,0.0,415761.9432087318
T_base_6000,20,521146.22445,273303.07124108897,0.0,1849820.8471554979
T_base_6000,21,1660328.7975333333,20990.560389000002,5739.055000000001,96623.5570689725
T_base_6000,22,2250471.833233333,0.0,22389.13281666667,0.0
T_base_6000,23,1539110.4336166666,0.0,5646.440000000001,0.0
T_q80_6000,0,2098925.89695679,0.0,29627.986982304523,0.0
T_q80_6000,1,1239803.958196502,0.0,7892.093150411539,0.0
T_q80_6000,2,1231485.5524968333,0.0,19558.281956995914,0.0
T_q80_6000,3,1218678.4901217984,0.0,22894.949663786025,0.0
T_q80_6000,4,1136156.7114585,67.49552449999646,29615.710777572025,148.32141508874224
T_q80_6000,5,1190660.6857398436,2151.0512129999984,189520.91784588472,6839.183477928496
T_q80_6000,6,352583.2306221666,2777.161450000001,0.0,12300.174275925005
T_q80_6000,7,508399.8069867531,705.2328000000002,23554.727219341574,3228.009296591668
T_q80_6000,8,4541.060416666669,4990.173535666656,0.0,26650.64042281744
T_q80_6000,9,25418.31469999998,12093.600688166673,429.22837962962075,59139.07664490811
T_q80_6000,10,180946.6347824218,7679.765870166659,67454.69289769547,36895.69176886196
T_q80_6000,11,1029431.0702306584,0.0,432903.7900054712,0.0
T_q80_6000,12,821129.9285012798,0.0,928250.9433757325,0.0
T_q80_6000,13,72973.5842915,0.0,491198.6410542181,0.0
T_q80_6000,14,176024.36148518723,0.0,261234.04077736827,0.0
T_q80_6000,15,931671.2727814815,0.0,325137.7913957922,0.0
T_q80_6000,16,1189854.9245166667,0.0,100601.12366460905,0.0
T_q80_6000,17,1510679.7116,0.0,75005.39014567906,0.0
T_q80_6000,18,964400.0385333333,568.4354166666665,41063.49989238686,3827.2756604166657
T_q80_6000,19,63463.28976666669,13042.412151722201,0.0,87917.92357360317
T_q80_6000,20,578688.5196333333,41521.013437571964,0.0,281309.7930313887
T_q80_6000,21,1734053.7555666666,4697.314789499994,14038.315,21289.948993734804
T_q80_6000,22,2320957.6786166667,0.0,55286.72458333335,0.0
T_q80_6000,23,1608765.9278666666,0.0,14754.005000000006,0.0
