strategy_id,date,issue_time,slot,start_time,end_time,price_yuan_kWh,load_kW,pv_kW,load_forecast_kW,pv_forecast_kW,net_forecast_kWh,residual_adjustment_kWh,protected_net_kWh,theta,theta_preset,residual_days,fallback_reason,planned_kWh,charge_kWh,discharge_kWh,emergency_kWh,unused_kWh,state_start_kWh,state_end_kWh,nominal_state_end_kWh,planned_cost_yuan,emergency_cost_yuan
G2_lightgbm_gate,2025-03-18,2025-03-18,49,2025-03-18 08:10:00,2025-03-18 08:20:00,1.0956,6751.7863,3826.5677,6554.109358503639,4162.187802030322,398.65359274555277,20.70263671172453,419.3562294572773,0.80,0.80,28,,0.0,0.0,487.53643333333326,0.0,0.0,4012.2588746277706,3470.5517264796226,3360.7710016164615,0.0,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,50,2025-03-18 08:20:00,2025-03-18 08:30:00,1.0849,6578.55,3985.5,6517.4431276651385,4475.499645748342,340.3239136527994,35.55772095182812,375.8816346046275,0.80,0.80,28,,0.0,0.0,432.175,0.0,0.0,3470.5517264796226,2990.3572820351783,2943.1247409446532,0.0,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,51,2025-03-18 08:30:00,2025-03-18 08:40:00,1.061,6719.2424,4106.1071,6615.613570469252,4841.353665170154,295.7099842165163,31.629352860876395,327.3393370773927,0.80,0.80,28,,0.0,0.0,435.52254999999997,0.0,0.0,2990.3572820351783,2506.443337590734,2579.414366414217,0.0,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,52,2025-03-18 08:40:00,2025-03-18 08:50:00,1.043,6797.0624,4437.1851,6610.434783148764,5289.685778272124,220.1248341461067,54.225211887341516,274.3500460334482,0.80,0.80,28,,0.0,0.0,393.31288333333333,0.0,0.0,2506.443337590734,2069.429022775919,2274.5809819326078,0.0,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,53,2025-03-18 08:50:00,2025-03-18 09:00:00,1.036,6661.85,4860.225,6576.838430118958,5382.928158820203,198.98504521645918,55.475521739035116,254.4605669554943,0.80,0.80,28,,0.0,0.0,300.2708333333333,0.0,0.0,2069.429022775919,1735.7947635166597,1991.8470186487252,0.0,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,54,2025-03-18 09:00:00,2025-03-18 09:10:00,1.0147,6509.2154,5015.7195,6568.778566833398,5733.058701775641,139.2866441762929,55.01853759994964,194.30518177624253,0.80,0.80,28,,0.0,0.0,248.91598333333332,0.0,0.0,1735.7947635166597,1459.221448701845,1775.9523722306778,0.0,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,55,2025-03-18 09:10:00,2025-03-18 09:20:00,0.9922,6326.896,5236.6944,6656.943870758736,6102.007797325886,92.4893455721417,57.924179565002476,150.41352513714418,0.80,0.80,28,,0.0,0.0,181.70026666666655,0.0,0.0,1459.221448701845,1257.33226351666,1608.8262331894066,0.0,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,56,2025-03-18 09:20:00,2025-03-18 09:30:00,0.97,6221.39,5661.2625,6661.599806319627,6430.782600429631,38.46953431499924,72.41362265434583,110.88315696934507,0.80,0.80,28,,0.0,0.0,51.59903716499407,41.755546168339336,0.0,1257.33226351666,1200.0,1485.6227254456899,0.0,202.51439891644577
G2_lightgbm_gate,2025-03-18,2025-03-18,57,2025-03-18 09:30:00,2025-03-18 09:40:00,0.9422,6360.2932,6043.1538,6542.91147733218,6647.354123794024,-17.407107743640758,91.05103605235976,73.64392830871901,0.80,0.80,28,,0.0,0.0,0.0,52.856566666666666,0.0,1200.0,1200.0,1403.7961384360021,0.0,249.00728556666667
G2_lightgbm_gate,2025-03-18,2025-03-18,58,2025-03-18 09:40:00,2025-03-18 09:50:00,0.9569,6467.8706,6110.8791,6431.494087807379,6681.702723794024,-41.701439331107395,85.69546015538026,43.994020824272866,0.80,0.80,28,,0.0,0.0,0.0,59.49858333333334,0.0,1200.0,1200.0,1354.913893075699,0.0,284.6709719583334
G2_lightgbm_gate,2025-03-18,2025-03-18,59,2025-03-18 09:50:00,2025-03-18 10:00:00,0.9977,6445.94,6085.4625,6451.645050987829,6595.304623794023,-23.943262134365796,57.43336008237429,33.4900979480085,0.80,0.80,28,,0.0,0.0,0.0,60.079583333333325,0.0,1200.0,1200.0,1317.7026731334672,0.0,299.7070014583333
G2_lightgbm_gate,2025-03-18,2025-03-18,60,2025-03-18 10:00:00,2025-03-18 10:10:00,0.9919,6448.7193,6465.5486,6543.069229842964,6625.505123794024,-13.739315658510046,62.141919270548556,48.40260361203851,0.80,0.80,28,,0.0,2.8048833333333882,0.0,0.0,0.0,1200.0,1202.5243950000001,1263.9220024534245,0.0,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,61,2025-03-18 10:10:00,2025-03-18 10:20:00,0.9588,6478.2633,6896.4437,6611.337999691111,6863.2825383977315,-41.99075645110345,99.52055865918554,57.52980220808209,0.80,0.80,28,,0.0,69.69673333333336,0.0,0.0,0.0,1202.5243950000001,1265.251455,1200.0,0.0,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,62,2025-03-18 10:20:00,2025-03-18 10:30:00,0.9549,6483.46,7147.5375,6536.700715867497,6896.3266209841195,-59.937650852770425,52.71987421181771,-7.217776640952714,0.80,0.80,28,,0.0,110.67958333333338,0.0,0.0,0.0,1265.251455,1364.86308,1206.4959989768574,0.0,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,63,2025-03-18 10:30:00,2025-03-18 10:40:00,0.9839,6422.2307,7317.679,6384.754823749435,6994.218004392657,-101.57719677387043,28.75934564123402,-72.8178511326364,0.80,0.80,28,,0.0,149.24138333333332,0.0,0.0,0.0,1364.86308,1499.180325,1272.0320649962302,0.0,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,64,2025-03-18 10:40:00,2025-03-18 10:50:00,0.799,6338.1411,7451.0694,6371.105486974606,7036.422547083441,-110.88617668480583,28.000181909303137,-82.8859947755027,0.80,0.80,28,,0.0,185.48805000000007,0.0,0.0,0.0,1499.180325,1666.11957,1346.6294602941828,0.0,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,65,2025-03-18 10:50:00,2025-03-18 11:00:00,0.5025,6336.47,7550.1375,6500.468183257052,7248.055048767754,-124.59781091845025,45.634756807341546,-78.9630541111087,0.80,0.80,28,,754.3702792222246,833.3333333333333,0.0,0.0,123.31486255555785,1666.11957,2416.11957,2096.6294602941825,379.0710653091678,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,66,2025-03-18 11:00:00,2025-03-18 11:10:00,0.4662,6493.2074,7601.5933,6489.017809795739,7338.433810799655,-141.56933350065265,39.01926709994041,-102.55006640071224,0.80,0.80,28,,730.783266932621,833.3333333333333,0.0,0.0,82.18091693262113,2416.11957,3166.11957,2846.6294602941825,340.6911590439879,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,67,2025-03-18 11:10:00,2025-03-18 11:20:00,0.5007,6613.3901,7628.226,6397.573162677103,7667.638052892949,-211.67748170264105,83.25882312547901,-128.41865857716203,0.80,0.80,28,,704.9146747561713,833.3333333333333,0.0,0.0,40.720658089504695,3166.11957,3916.11957,3596.6294602941825,352.950777650415,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,68,2025-03-18 11:20:00,2025-03-18 11:30:00,0.4827,6590.55,7698.15,6375.901019762058,7856.38313989858,-246.74702002275367,114.84563766692084,-131.90138235583282,0.80,0.80,28,,701.4319509775005,833.3333333333333,0.0,0.0,52.69861764416714,3916.11957,4666.11957,4346.6294602941825,338.5812027368395,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,69,2025-03-18 11:30:00,2025-03-18 11:40:00,0.4785,6463.7775,7854.1873,6480.921781847444,7960.682480211431,-246.62678306066437,91.77925393519884,-154.84752912546554,0.80,0.80,28,,678.4858042078677,833.3333333333333,0.0,0.0,76.88743754120094,4666.11957,5416.11957,5096.6294602941825,324.65545731346464,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,70,2025-03-18 11:40:00,2025-03-18 11:50:00,0.4662,6232.893,7904.3377,6317.700682136785,7817.22368021143,-249.92049967910754,77.62149857740087,-172.29900110170666,0.80,0.80,28,,661.0343322316266,833.3333333333333,0.0,0.0,106.27511556496006,5416.11957,6166.11957,5846.6294602941825,308.17420568638437,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,71,2025-03-18 11:50:00,2025-03-18 12:00:00,0.4432,6004.32,7836.375,5962.458606287213,7612.172380211429,-274.952295654036,53.276552179536225,-221.67574347449977,0.80,0.80,28,,611.6575898588335,833.3333333333333,0.0,0.0,83.6667565255002,6166.11957,6916.11957,6596.6294602941825,271.086643825435,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,72,2025-03-18 12:00:00,2025-03-18 12:10:00,0.4411,5936.0248,7831.1551,6002.83842832358,7774.389780211431,-295.25855864797506,85.03073268213393,-210.22782596584113,0.80,0.80,28,,623.1055073674921,833.3333333333333,0.0,0.0,105.62722403415887,6916.11957,7666.11957,7346.6294602941825,274.85183929980076,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,73,2025-03-18 12:10:00,2025-03-18 12:20:00,0.4551,5922.6668,7882.29,6015.34318524066,7880.77258021143,-310.90489916179496,82.6851949792293,-228.21970418256566,0.80,0.80,28,,605.1136291507676,833.3333333333333,0.0,0.0,98.3841624841009,7666.11957,8416.119569999999,8096.6294602941825,275.3872126265143,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,74,2025-03-18 12:20:00,2025-03-18 12:30:00,0.4463,5862.11,7841.4,5905.97177488233,7623.197380211431,-286.20426755485016,24.842789185795624,-261.36147836905457,0.80,0.80,28,,571.9718549642787,833.3333333333333,0.0,0.0,68.5201882976121,8416.119569999999,9166.119569999999,8846.629460294182,255.27103887055756,0.0
