date,B0,B1,B2,B1_minus_B0,B2_minus_B1
2025-03-21,15700.731017048425,15573.592064102933,15518.42398885805,-127.13895294549184,-55.16807524488286
2025-03-22,15836.872787386295,16548.291513785436,16422.05731833552,711.4187263991407,-126.23419544991702
2025-03-23,39011.46566673851,44396.97637866953,42027.625369157286,5385.51071193102,-2369.3510095122474
2025-03-24,39299.24073980419,41842.75189866937,41431.86175840346,2543.511158865178,-410.8901402659103
2025-03-25,40418.51407936643,46331.60245731049,43097.43884261058,5913.0883779440555,-3234.163614699908
2025-03-26,40266.658435013815,41124.626648975114,39470.13993588892,857.9682139612996,-1654.4867130861967
2025-03-27,40071.54657019863,42531.07557948203,40819.36186595375,2459.5290092833966,-1711.7137135282755
2025-03-28,15275.751549375398,15942.916462350353,15896.787161916749,667.1649129749549,-46.12930043360393
2025-03-29,14636.734709849088,14494.74587727144,14888.132197093866,-141.98883257764828,393.38631982242623
2025-03-30,37493.58073232428,41102.92682396286,38713.537397334105,3609.346091638581,-2389.3894266287534
2025-03-31,37294.66970909585,47207.99970500101,38853.36522842502,9913.329995905166,-8354.634476575993
2025-04-01,47818.65603711134,43437.22930378121,41511.87095196255,-4381.426733330125,-1925.3583518186642
2025-04-02,47298.995599517744,41607.60444571221,41096.57969154763,-5691.391153805533,-511.0247541645804
2025-04-03,40503.152097829945,43354.59250019906,40801.88824295269,2851.440402369117,-2552.704257246369
2025-04-04,14556.853525841527,14507.146182616169,14533.046478003625,-49.70734322535827,25.900295387456936
2025-04-05,14459.992196517844,14162.153434747957,14306.474612644533,-297.83876176988633,144.32117789657605
2025-04-06,38549.4439893703,39670.183119238165,38821.31727786989,1120.739129867863,-848.8658413682715
2025-04-07,38074.57580228084,37532.00765929241,36260.755909539585,-542.568142988428,-1271.2517497528243
2025-04-08,38170.05370371113,41353.79795686789,38946.14891123818,3183.744253156765,-2407.6490456297106
2025-04-09,38179.944555512986,39869.65813312638,40271.51248116519,1689.7135776133946,401.8543480388107
2025-04-10,38974.89131568054,39704.80597558299,38968.38110119614,729.9146599024461,-736.424874386852
2025-04-11,14098.207572088762,13404.270775024985,13572.527971568717,-693.9367970637777,168.2571965437328
2025-04-12,14264.426132331684,14847.858084632633,14524.626137074116,583.431952300949,-323.2319475585173
