供应商ID,材料类别,CRITIC贴近度,CRITIC排名,熵权贴近度,熵权排名,排名差
S197,B,0.6373181987222976,65,0.06272428500093795,78,-13
S003,C,0.6371072222401841,66,0.07586073741527846,46,20
S123,A,0.6359750431381034,67,0.06479791806800206,67,0
S202,B,0.6340978779084009,68,0.06205654048236071,80,-12
S064,A,0.634088756434583,69,0.062095294350403334,79,-10
S092,B,0.6334510525430195,70,0.06192240302187128,81,-11
S036,B,0.6332587451206325,71,0.06186804219594175,82,-11
S050,B,0.6328470135455468,72,0.061779639016642844,85,-13
S392,B,0.6328320300778596,73,0.06179628669298599,84,-11
S172,B,0.6325355531639297,74,0.06172514671683676,86,-12
S332,A,0.6322410789025517,75,0.06185338299579866,83,-8
S086,C,0.6318857745479877,76,0.07922933600807076,42,34
S388,B,0.6311631520750232,77,0.06143555561108541,88,-11
S066,A,0.6311003997660075,78,0.06144480467468335,87,-9
S291,A,0.6305971141284877,79,0.06425727628524841,71,8
S318,A,0.6299791843077049,80,0.06122656745145654,89,-9
S273,A,0.628789857420506,81,0.0947056924961329,36,45
S141,B,0.6283445461687097,82,0.0609116466272671,91,-9
S314,C,0.6279126624962511,83,0.06099139747349862,90,-7
S025,C,0.6270968992561505,84,0.06065895907716712,92,-8
S188,B,0.6255123241539139,85,0.06034284943422789,93,-8
S189,A,0.6252002473086243,86,0.0700751276217576,50,36
S150,A,0.6243386755804669,87,0.06033747246815746,94,-7
S256,B,0.6201694414204141,88,0.05938909394747209,96,-8
S157,A,0.6199461055954776,89,0.05949479748507504,95,-6
S324,B,0.6195584997381519,90,0.05927365842079451,97,-7
S075,A,0.6187759096903573,91,0.059124137157976056,98,-7
S149,C,0.6183307839042819,92,0.059065752688997594,99,-7
S269,A,0.6181185782015508,93,0.0589768544280007,100,-7
S397,B,0.6180294739954143,94,0.058951405475593445,101,-7
S078,A,0.6168817257221747,95,0.07813606507347381,44,51
S304,A,0.6164559850458377,96,0.05868539901043231,102,-6
S270,C,0.6162044036503802,97,0.05863705547629928,103,-6
S180,B,0.6115323859075653,98,0.05782233081824473,105,-7
S381,A,0.6110077348339662,99,0.0579763036996619,104,-5
S088,B,0.6100801930291292,100,0.05761762020522477,106,-6
S033,C,0.609506222291409,101,0.05749232130498886,107,-6
S245,C,0.6089685429214462,102,0.05742119148633377,108,-6
S211,A,0.6080554420912647,103,0.0572418476138332,109,-6
S263,C,0.604333272885782,104,0.056670577327044835,110,-6
S310,B,0.6032849341351673,105,0.05650284944176591,111,-6
S376,B,0.6031146827247933,106,0.05647106831314168,112,-6
S353,B,0.6025540576386569,107,0.05635770911260861,113,-6
S026,A,0.601909074296603,108,0.05624985511648703,114,-6
S203,A,0.6010132382100538,109,0.05610511721414351,115,-6
S186,C,0.5997784842021097,110,0.055956113698693244,116,-6
S225,B,0.5972732489021956,111,0.05552683996521201,118,-7
S129,C,0.5959678076553508,112,0.05553709953446373,117,-5
S191,B,0.5937818899157884,113,0.05502586468864061,119,-6
S193,B,0.5920200265340572,114,0.05476573510742542,120,-6
S133,C,0.5918759611905415,115,0.054711482197776724,121,-6
S138,B,0.5912916624784006,116,0.054635010261296774,122,-6
S216,B,0.5907345176889869,117,0.05455246909483844,123,-6
S258,B,0.5887423663725513,118,0.054257393020199905,124,-6
S260,B,0.5886139173244022,119,0.054194888852244286,125,-6
S054,B,0.5878618180349633,120,0.054148747230910295,126,-6
S224,B,0.5875993023530501,121,0.054039317233751626,127,-6
S074,C,0.5874715642625263,122,0.07115075894244031,48,74
S366,B,0.5857490962837718,123,0.05376168791786753,128,-5
S152,A,0.5833345558176201,124,0.0534601392802924,129,-5
S272,B,0.5816106196984958,125,0.05319119475115724,130,-5
S115,A,0.5795764513965699,126,0.05291581109484017,131,-5
S016,A,0.5792927048086798,127,0.05284336608233506,132,-5
S383,C,0.5759465813806602,128,0.05249622158541458,133,-5
S298,B,0.5756793994575674,129,0.052374557707418695,134,-5
S044,C,0.575534009359283,130,0.05232049603479116,136,-6
S146,B,0.5754977617690503,131,0.05231200863004504,137,-6
S235,B,0.5751507791419725,132,0.0523734556028492,135,-3
S271,C,0.5726272758102755,133,0.05199614694454708,138,-5
S357,C,0.568538534658427,134,0.05138714340461408,139,-5
S301,C,0.568437100017516,135,0.05134729027005213,140,-5
S305,C,0.5682806024944169,136,0.051294464049273104,141,-5
S360,B,0.5676379021081029,137,0.051243262720862694,142,-5
S110,C,0.5668534092115886,138,0.05113703351970349,143,-5
S070,C,0.5647454548653238,139,0.050817226687663954,144,-5
S073,B,0.5628835389941472,140,0.05056532263784954,145,-5
S337,A,0.5599111585418468,141,0.05016076602061942,146,-5
S210,C,0.556710079881264,142,0.09640780466892974,34,108
S286,B,0.5557059616319385,143,0.049616286944130915,147,-4
S386,B,0.5543380745355454,144,0.049451957652280824,148,-4
S081,B,0.5477028700897296,145,0.04857872057484423,149,-4
S230,B,0.5454328735034744,146,0.0483109788854006,150,-4
S046,A,0.5448361198820151,147,0.04819981119513322,151,-4
S011,C,0.5413141433403589,148,0.04777171480767261,152,-4
S279,C,0.5392297685256551,149,0.047510506051880896,155,-6
S227,A,0.5388118795922789,150,0.0476138382137161,154,-4
S154,A,0.5378792197495678,151,0.07308805318563515,47,104
S128,A,0.5372340090134567,152,0.04726133869848376,157,-5
S359,C,0.5357389506216318,153,0.04706715399148638,158,-5
S023,C,0.533189847925506,154,0.047346233829466206,156,-2
S002,A,0.5282522772207083,155,0.046182911355531424,159,-4
S039,C,0.5246925940445349,156,0.04595148716229953,160,-4
S358,B,0.5242652747607555,157,0.045681327202845436,161,-4
S219,A,0.524055890801546,158,0.04561851396831413,162,-4
S265,A,0.5217816550877435,159,0.04535883921806995,163,-4
S333,B,0.5210459127043704,160,0.04526731023704159,164,-4
S201,A,0.5200460533372147,161,0.7217079354963499,3,158
S065,A,0.519916209705946,162,0.04514102242714054,165,-3
S292,A,0.5196314341524831,163,0.0664172074333435,60,103
S087,A,0.5191857432468787,164,0.045042249339201715,166,-2
S013,C,0.517621007473553,165,0.0448511426467837,167,-2
S021,A,0.511807677936844,166,0.044153924927450114,169,-3
S122,A,0.5114322993325511,167,0.04411248946142639,170,-3
S303,B,0.5109154643546013,168,0.04420024897696425,168,0
S300,A,0.5096619755617154,169,0.047672028825018774,153,16
S069,B,0.5045643453678225,170,0.04331285781128975,171,-1
S090,C,0.5019955130333494,171,0.04309460534686951,172,-1
S296,A,0.49703080858231136,172,0.04242198771463031,173,-1
S336,A,0.49552542616717543,173,0.04233737853562886,174,-1
S027,A,0.49529777191314833,174,0.042232499530257685,175,-1
S295,A,0.49357229305388434,175,0.04202223090381008,176,-1
S102,A,0.4907055956987029,176,0.041724053538744574,177,-1
S267,C,0.48899380403641485,177,0.04149636767988447,178,-1
S236,C,0.48499045341459907,178,0.04104172510057827,179,-1
S339,C,0.4832069662945459,179,0.040831946212701586,180,-1
S116,A,0.48176767854195235,180,0.04069566755628669,181,-1
S014,A,0.4804603563889368,181,0.04052557572695007,183,-2
S208,A,0.4802487879625928,182,0.066691927871221,56,126
S309,A,0.48022982135001363,183,0.040535135880605776,182,1
S274,A,0.480025358587924,184,0.04049103753937185,184,0
S165,A,0.4784832386638781,185,0.04030084874118262,185,0
S233,B,0.47787924668333503,186,0.0402590838325115,186,0
S389,B,0.4769808291778807,187,0.04014958392365701,187,0
S099,A,0.4758341731208585,188,0.04003656736131692,188,0
S316,B,0.4736281282897741,189,0.03976978977661945,189,0
S250,A,0.47189340499694393,190,0.03961694005053415,191,-1
S254,A,0.4716475296030539,191,0.03965215812957351,190,1
S232,B,0.46983583545940505,192,0.03941037085648751,192,0
S349,C,0.46741435060801256,193,0.03906792602951836,193,0
S331,C,0.4649593484977272,194,0.038788587908382854,194,0
S182,C,0.4620826659254018,195,0.03857893191670944,195,0
S199,B,0.4618354483758222,196,0.03853276959291863,196,0
S089,A,0.4593277079840575,197,0.03827743403862627,197,0
S052,A,0.45746053500092,198,0.03796349557464095,198,0
S327,B,0.4550355127249034,199,0.03769723061847159,199,0
S132,A,0.44761348437792514,200,0.03688467579282326,201,-1
S091,A,0.4466400080490311,201,0.03678294181290767,203,-2
S170,A,0.4456533456804343,202,0.036783989293386145,202,0
S313,C,0.44559419474467304,203,0.036933745395567805,200,3
S280,B,0.43850586899037575,204,0.03589316349577846,204,0
S176,B,0.43792848113453586,205,0.03581956026115961,206,-1
S159,A,0.4377802173872343,206,0.035874227853917716,205,1
S312,A,0.4377529741534323,207,0.03581215630045253,207,0
S259,B,0.4338273509636607,208,0.03538417852412715,208,0
S377,C,0.42754277788271844,209,0.03470326114665375,209,0
S024,B,0.4260964497350062,210,0.03456133145027246,210,0
S163,A,0.4220450989018958,211,0.034248669962286,211,0
S264,B,0.42200310078175685,212,0.03416894696296115,212,0
S048,B,0.421857481791615,213,0.03409364585604923,213,0
S226,A,0.41654325128203956,214,0.033626391952047065,214,0
S184,A,0.41566242038782425,215,0.033439621694981644,215,0
S117,B,0.4149048041306359,216,0.03337597332948436,216,0
S370,A,0.40874889760795163,217,0.032686559127598595,217,0
S255,A,0.4036741533263829,218,0.03213378949534665,218,0
S120,B,0.40139392187858625,219,0.03188998295899397,219,0
S214,B,0.3971234921878428,220,0.031430463540994796,221,-1
S315,B,0.396581324869455,221,0.03138878347173188,222,-1
S323,A,0.39613545425996144,222,0.031384570275983535,223,-1
S035,A,0.395670191559319,223,0.03129008492090022,225,-2
S380,C,0.39530415178471545,224,0.031290825904425106,224,0
S096,A,0.3938485805167157,225,0.031487904757179414,220,5
S094,C,0.3896496977739435,226,0.030638214760406256,226,0
S249,B,0.3889982892595657,227,0.030572315309142773,227,0
S171,C,0.38538960218843266,228,0.030183377175209296,228,0
S049,A,0.38366842696745185,229,0.029994802394624914,229,0
S322,B,0.3807780290696644,230,0.02968967290103643,230,0
S124,B,0.3780359715031964,231,0.029396626185325993,231,0
S223,C,0.3773628870775129,232,0.029325019261703594,232,0
S261,B,0.376111449613156,233,0.029217946879012115,233,0
S399,B,0.373312008044855,234,0.02889646601875783,236,-2
S325,C,0.3732825744428561,235,0.028900354643717187,235,0
S121,A,0.37327705259353494,236,0.02896115403123371,234,2
S209,A,0.3723733375612781,237,0.02882630299139844,237,0
S079,B,0.37122713172513955,238,0.028675706775179038,238,0
S032,C,0.3704705875118611,239,0.028587897479285876,239,0
S401,B,0.36782152260758855,240,0.02830381279013463,241,-1
S061,C,0.36765248216253493,241,0.028313599157790324,240,1
S207,C,0.36762432043410526,242,0.02830292777510108,242,0
S196,A,0.3670140242729285,243,0.0282140681509438,243,0
S136,C,0.3618014639981729,244,0.02768089048412816,244,0
S083,A,0.35921177464440995,245,0.027473699758029994,245,0
S326,C,0.35792655759217507,246,0.027276966527410376,246,0
S060,C,0.3562231464370045,247,0.02720985832821765,247,0
S368,C,0.3561738301640319,248,0.027168729865981504,248,0
S147,B,0.356145314589715,249,0.027158829251067957,249,0
S242,A,0.3559344842265391,250,0.027043253456159193,250,0
S217,A,0.35305528473162423,251,0.026793511799631617,252,-1
S111,B,0.3521530197277365,252,0.026655693481678212,253,-1
S345,C,0.35209271021028754,253,0.026655381925197143,254,-1
S018,B,0.34867460639549835,254,0.026245389214361342,255,-1
S220,C,0.34739412890608895,255,0.026122378311179265,256,-1
S173,C,0.34593171354251256,256,0.026802150610021138,251,5
S222,B,0.3454306506479314,257,0.025936845333734252,257,0
S105,B,0.3440898295857174,258,0.025788383670607543,258,0
S107,C,0.3432173357041651,259,0.025686709978593795,259,0
S382,C,0.34170317387713434,260,0.025492602084134133,260,0
S347,C,0.34074992986168756,261,0.025395067046088928,261,0
S042,A,0.3396325584706995,262,0.025347609378183342,262,0
S085,C,0.33952610629457364,263,0.0252531948132921,263,0
S118,B,0.3368615993937369,264,0.02500470093609759,265,-1
S384,C,0.3360446708779044,265,0.024909713702456926,266,-1
S363,A,0.33599061961752025,266,0.02487928528491461,267,-1
S158,A,0.3349431067977742,267,0.02507303931004638,264,3
S299,A,0.3345965927882077,268,0.024723788352516544,268,0
S127,A,0.3293806051891169,269,0.0242312259257169,269,0
S369,C,0.3282267846964248,270,0.02413308023408341,270,0
S167,A,0.3279329757830255,271,0.02404191463699913,271,0
S059,C,0.32772155679579706,272,0.023975725131984513,272,0
S252,C,0.32677458520615077,273,0.0238952977558305,273,0
S041,C,0.32634972106023635,274,0.023828239293546754,274,0
S205,A,0.3245461671394661,275,0.02362478860306023,276,-1
S319,B,0.3243230831583208,276,0.02362653344116842,275,1
S398,C,0.32317634154127867,277,0.02347641191446405,278,-1
S341,A,0.3229092771662199,278,0.023479332139615332,277,1
S028,B,0.3212664317082799,279,0.02328689693304255,279,0
S057,B,0.31984840955853316,280,0.023106926836266486,280,0
S200,B,0.31816342085361404,281,0.02293646431935052,281,0
S145,A,0.317780086118111,282,0.022935481000611622,282,0
S195,A,0.31714862229231056,283,0.022864036000245527,283,0
S109,A,0.31624509199912165,284,0.02270464187030035,284,0
S311,B,0.31510408222518793,285,0.022580691960676566,285,0
S288,A,0.3124354036595978,286,0.022281973703893197,286,0
S248,B,0.30984245239771413,287,0.02200249477110485,287,0
S017,A,0.30932230449904696,288,0.021993665801255873,288,0
S378,B,0.3085110810833047,289,0.02185122729098404,289,0
S234,C,0.3076617846946854,290,0.02180145115076074,290,0
S082,A,0.3035512613333934,291,0.021288654071679736,292,-1
S056,A,0.30273700753755556,292,0.021193058162439778,293,-1
S072,A,0.30201333588479046,293,0.021114586689255244,294,-1
S391,C,0.3014758125878189,294,0.021074675779642033,295,-1
S155,A,0.3005112218915099,295,0.020953973674938734,296,-1
S112,B,0.29941246616604195,296,0.02138297633564055,291,5
S166,B,0.2960795884477423,297,0.02044082607486133,298,-1
S134,B,0.2959929162658382,298,0.020446082415811796,297,1
S142,B,0.29405134891904705,299,0.02027763514952131,299,0
S187,A,0.28979137501323304,300,0.019723637980712583,300,0
S354,A,0.28872907931740466,301,0.019667968136771168,302,-1
S010,B,0.28844649453250837,302,0.019623992684440823,303,-1
S097,A,0.2857334980682395,303,0.01969252644069136,301,2
S281,A,0.28241651237999577,304,0.01886391731998091,305,-1
S335,B,0.27977150407640705,305,0.01906122737295414,304,1
S385,B,0.27918023478166293,306,0.01848792971186988,306,0
