strategy_id,hour,load_mae,pv_mae,net_mae,net_bias
R1_load_ridge,0,150.6747363909671,0.0,150.6747363909671,7.105714965343797
R1_load_ridge,1,152.00944048854484,0.0,152.00944048854484,8.777520547512154
R1_load_ridge,2,144.68787960579996,0.0,144.68787960579996,10.081129935227706
R1_load_ridge,3,142.30762993851832,0.00014760479041916165,142.30761906027482,10.33126098533196
R1_load_ridge,4,140.9971323298617,0.040886776447105797,140.999046651219,10.03266235494142
R1_load_ridge,5,143.2149415939479,18.701557085828345,145.0333263478192,5.926056279044412
R1_load_ridge,6,144.85714785869519,95.59225244510978,179.13004896664592,10.695284410342587
R1_load_ridge,7,145.28633132881515,218.29200903193612,271.6254287674115,12.789046522642014
R1_load_ridge,8,142.4962876839245,336.9044718063873,371.27696953040356,16.56087949136758
R1_load_ridge,9,141.3601211968138,470.62199351297403,496.99244976005497,15.9431372423519
R1_load_ridge,10,138.65429141238582,557.0780589820359,583.7415578170763,15.360041836798654
R1_load_ridge,11,145.1725514248209,610.5103845309382,634.9026678275632,12.407412217618969
R1_load_ridge,12,141.46332864313376,613.8959916167664,633.9318597281215,10.357042263529607
R1_load_ridge,13,146.90830024250224,514.1034047405188,537.5746666330442,10.689560298548813
R1_load_ridge,14,152.64867888334237,411.51943847305387,443.16677729750563,12.229480474800408
R1_load_ridge,15,154.79328962559546,318.3179165668663,357.3009866318965,10.220653510606931
R1_load_ridge,16,157.22949768283564,195.5747134231537,257.06348933106034,9.839799544768473
R1_load_ridge,17,159.7593098523125,76.44102490019961,180.4921977860221,5.1119304934739676
R1_load_ridge,18,158.16502665586918,10.696773303393213,159.13316300098265,0.5818549701897084
R1_load_ridge,19,157.02055108647713,0.024644810379241516,157.02004390084838,1.9686274851539163
R1_load_ridge,20,160.06615745938473,0.00012704590818363274,160.06616604221907,2.6869030546572312
R1_load_ridge,21,160.69460514369888,0.0,160.69460514369888,2.614927367995862
R1_load_ridge,22,162.46103408588831,0.0,162.46103408588831,0.3404945473001556
R1_load_ridge,23,157.66846721844323,0.0,157.66846721844323,3.9889964527185033
R2_pv_ridge,0,180.4179123253493,12.230442474160414,180.17880341290916,10.632307294519695
R2_pv_ridge,1,180.33516047904192,6.86192757198302,180.42226048190867,5.203675076973043
R2_pv_ridge,2,172.89767814371257,3.762265399323144,172.9254169634796,2.0533518264688526
R2_pv_ridge,3,166.39013158682636,4.1255073016663975,166.28993875715472,2.7096675312073137
R2_pv_ridge,4,166.40304341317366,11.986168251581512,167.04297912783076,10.222086829616297
R2_pv_ridge,5,164.2931661177645,36.326387343948404,169.1742720566907,22.003127190846318
R2_pv_ridge,6,157.97209520958086,90.73703525761532,187.07629471278983,7.52446212496129
R2_pv_ridge,7,163.6117426147705,180.4663631222623,248.18886486170274,-6.542136958603399
R2_pv_ridge,8,160.5564382235529,281.3804525635047,329.5584834677457,-10.623269077982783
R2_pv_ridge,9,158.48193018962075,378.9358139403414,410.31797201392703,-6.6916881536121045
R2_pv_ridge,10,158.1851463073852,440.83903639034025,466.6111970386673,4.260179414920411
R2_pv_ridge,11,170.27670903193612,479.3382824379863,509.8214166186194,7.233396964360797
R2_pv_ridge,12,173.82110668662676,480.2988540927819,512.664534069069,3.4293186668324966
R2_pv_ridge,13,174.9092211576846,402.22407716446145,446.1217398841777,1.4056304304131462
R2_pv_ridge,14,180.28151981037925,342.3813935888074,402.16033478887397,-6.747145120886715
R2_pv_ridge,15,180.20714451097805,259.6345284671306,324.0732961065425,-9.838214077324215
R2_pv_ridge,16,187.80239560878246,156.56239327482086,253.33735107101447,-3.7354065480701326
R2_pv_ridge,17,195.65103353293412,75.62270777362161,205.58873296017416,12.897083543790915
R2_pv_ridge,18,191.41186746506986,30.182420517425143,195.0636103446324,24.956938069319822
