date,horizon,max_cumulative_underestimate_kWh,total_cumulative_underestimate_kWh,slots,start_slot
2025-03-23,4h,325.6569166666669,8209.124516666678,24,110
2025-03-24,1h,1108.25695,14708.717016666658,6,84
2025-03-24,4h,1978.6961499999998,33975.20916666665,24,82
2025-03-25,1h,1425.4516333333338,25602.89288333334,6,59
2025-03-25,4h,3165.982400000001,78297.58540000001,24,56
2025-03-26,1h,452.10565000000025,6010.423633333334,6,79
2025-03-26,4h,275.9426166666663,4254.665999999997,24,30
2025-03-27,1h,1243.3553499999998,24165.26388333333,6,60
2025-03-27,4h,2021.7077833333328,78872.43388333332,24,54
2025-03-28,1h,486.35958333333315,5393.264649999999,6,43
2025-03-28,4h,751.8876333333328,10724.769883333327,24,36
2025-03-29,1h,255.03526666666653,3840.5197833333295,6,95
2025-03-29,4h,307.0688833333332,7050.891099999986,24,90
2025-03-30,1h,1101.367,18824.617283333326,6,83
2025-03-30,4h,1889.9544999999991,60471.6654833333,24,67
2025-03-31,1h,1189.0429000000001,23391.878133333328,6,76
2025-03-31,4h,2774.6644833333335,79127.41404999999,24,71
2025-04-01,1h,1437.979366666667,22490.546500000004,6,66
2025-04-01,4h,3202.3691833333332,68938.66646666668,24,54
2025-04-02,1h,963.3899833333332,19980.492283333337,6,47
2025-04-02,4h,2756.6583000000005,64171.52401666668,24,42
2025-04-03,1h,587.0077833333335,10355.315966666663,6,91
2025-04-03,4h,1414.881816666667,23716.734516666653,24,82
2025-04-04,1h,392.432533333333,4677.197899999998,6,69
2025-04-04,4h,219.32229999999913,1765.1667500000008,24,54
2025-04-05,1h,1371.9024500000005,35643.38660000001,6,78
2025-04-05,4h,3873.351616666668,131697.56493333337,24,73
2025-04-06,1h,309.6398833333334,4416.264516666664,6,43
2025-04-06,4h,394.5788666666667,4197.2380666666595,24,25
2025-04-07,1h,972.902033333333,12264.431249999996,6,75
2025-04-07,4h,1336.759883333332,20855.448449999978,24,70
2025-04-08,1h,1215.81945,22724.978349999998,6,59
2025-04-08,4h,2813.8376333333326,60570.34853333332,24,42
2025-04-09,1h,1644.4639166666668,34162.06771666667,6,75
2025-04-09,4h,4523.763016666666,123286.75706666669,24,62
2025-04-10,1h,373.83831666666657,5599.775766666669,6,96
2025-04-10,4h,547.2703500000005,5161.967316666673,24,95
2025-04-11,1h,578.5355333333326,7922.33808333333,6,64
2025-04-11,4h,294.84091666666643,2934.3657999999946,24,16
2025-04-12,1h,1300.11855,27797.659316666668,6,79
2025-04-12,4h,3901.734416666667,103138.13641666668,24,66
2025-04-13,1h,479.94989999999984,12451.942116666667,6,55
2025-04-13,4h,1337.9518999999998,28060.155550000007,24,37
2025-04-14,1h,534.1420666666669,5916.852283333339,6,84
2025-04-14,4h,219.92345000000012,2967.6415833333435,24,111
2025-04-15,1h,746.3606666666669,13046.884350000006,6,78
2025-04-15,4h,2115.8470166666675,35402.57350000001,24,77
2025-04-16,1h,1641.1584999999998,35341.38208333332,6,57
2025-04-16,4h,4917.877233333331,124060.67741666664,24,52
2025-04-17,1h,250.1375333333334,4152.912933333331,6,98
2025-04-17,4h,295.3815833333322,4278.511799999982,24,98
2025-04-18,1h,538.4856333333333,10150.546366666666,6,69
2025-04-18,4h,867.7068999999999,12244.771483333327,24,51
