strategy_id,predictor_id,alpha,samples,coverage,mean_adjustment_kWh,scope
R_q70,ridge,0.7,4464,0.6682347670250897,35.600618173592046,2025-05
R_q70,ridge,0.7,4320,0.6921296296296297,46.54924937024352,2025-06
R_q70,ridge,0.7,4464,0.698252688172043,31.248396381367453,2025-07
R_q70,ridge,0.7,4464,0.6964605734767025,14.778671470465992,2025-08
R_q70,ridge,0.7,4320,0.6416666666666667,22.58098389862234,2025-09
R_q70,ridge,0.7,4464,0.671146953405018,33.04989912648622,2025-10
R_q70,ridge,0.7,4320,0.7363425925925926,32.023884918820904,2025-11
R_q70,ridge,0.7,4464,0.728494623655914,28.93447497714987,2025-12
R_q75,ridge,0.75,48096,0.7217232202262143,32.881141009061444,
R_q75,ridge,0.75,4032,0.7388392857142857,16.314560605307683,2025-02
R_q75,ridge,0.75,4464,0.6825716845878136,22.553623295935306,2025-03
R_q75,ridge,0.75,4320,0.7164351851851852,32.28110812466091,2025-04
R_q75,ridge,0.75,4464,0.7009408602150538,41.44958495613615,2025-05
R_q75,ridge,0.75,4320,0.7231481481481481,53.03844883235014,2025-06
R_q75,ridge,0.75,4464,0.7327508960573477,38.270362586743786,2025-07
R_q75,ridge,0.75,4464,0.72334229390681,21.285688929953874,2025-08
R_q75,ridge,0.75,4320,0.6821759259259259,28.734369597735398,2025-09
R_q75,ridge,0.75,4464,0.71415770609319,38.04020534212006,2025-10
R_q75,ridge,0.75,4320,0.7696759259259259,35.72101302405795,2025-11
R_q75,ridge,0.75,4464,0.7567204301075269,32.98909013794224,2025-12
R_q85,ridge,0.85,48096,0.825390884896873,51.3916398468207,
R_q85,ridge,0.85,4032,0.8377976190476191,29.63944871346227,2025-02
R_q85,ridge,0.85,4464,0.7838261648745519,38.53920914071176,2025-03
R_q85,ridge,0.85,4320,0.8162037037037037,50.38807346092742,2025-04
R_q85,ridge,0.85,4464,0.8075716845878136,61.87966529423066,2025-05
R_q85,ridge,0.85,4320,0.8201388888888889,75.88152493347584,2025-06
R_q85,ridge,0.85,4464,0.8281810035842294,60.730853286577144,2025-07
R_q85,ridge,0.85,4464,0.8299731182795699,45.24548483964688,2025-08
R_q85,ridge,0.85,4320,0.8027777777777778,50.377461741756065,2025-09
R_q85,ridge,0.85,4464,0.8346774193548387,54.518271457132826,2025-10
R_q85,ridge,0.85,4320,0.8708333333333333,49.3227088602757,2025-11
R_q85,ridge,0.85,4464,0.8487903225806451,47.33845388389817,2025-12
R_q90,ridge,0.9,48096,0.8929224883566201,69.63286844689142,
R_q90,ridge,0.9,4032,0.9069940476190477,42.407499621899426,2025-02
R_q90,ridge,0.9,4464,0.8599910394265233,55.25162044001267,2025-03
R_q90,ridge,0.9,4320,0.8865740740740741,67.39154004129942,2025-04
R_q90,ridge,0.9,4464,0.8792562724014337,80.66268150571723,2025-05
R_q90,ridge,0.9,4320,0.8858796296296296,101.1483948659964,2025-06
R_q90,ridge,0.9,4464,0.8949372759856631,83.20053446286603,2025-07
R_q90,ridge,0.9,4464,0.899641577060932,67.15333350532902,2025-08
R_q90,ridge,0.9,4320,0.8768518518518519,72.62056833958069,2025-09
R_q90,ridge,0.9,4464,0.9027777777777778,70.61255058960096,2025-10
R_q90,ridge,0.9,4320,0.9247685185185185,62.02160876855944,2025-11
R_q90,ridge,0.9,4464,0.9059139784946236,61.651689541166725,2025-12
L_q70,lightgbm,0.7,48096,0.6889762142381903,25.949923150484114,
L_q70,lightgbm,0.7,4032,0.6897321428571429,13.207696744008157,2025-02
L_q70,lightgbm,0.7,4464,0.6545698924731183,18.183179996080924,2025-03
L_q70,lightgbm,0.7,4320,0.6849537037037037,28.275576727226838,2025-04
L_q70,lightgbm,0.7,4464,0.6774193548387096,37.03748741317773,2025-05
