strategy_id,month,load_mae,pv_mae,net_mae,net_rmse,net_bias
A3_both_arima,2025-02,146.30382620509934,106.35332530904826,203.98120914440986,282.5034656688152,-60.64030025128531
A3_both_arima,2025-03,140.19094479859606,155.0593548935858,237.7422753751146,354.0831415244232,-5.376125807566872
A3_both_arima,2025-04,125.52264460648148,165.2490934571255,244.53809566458733,362.45740107413326,21.04348264945406
A3_both_arima,2025-05,160.87296954705047,193.90484317894263,300.80678058166035,416.2512792734916,85.17700168696717
A3_both_arima,2025-06,201.10657651962975,228.3929952364998,375.41073610764914,538.3709800056032,38.937669394872195
A3_both_arima,2025-07,257.87385259534017,190.63400943785766,340.8029354372818,454.9977480370842,4.998323369774494
A3_both_arima,2025-08,183.77835450268816,181.788559069393,297.9145598372001,412.01035822634583,-16.80147660060479
A3_both_arima,2025-09,223.28158342810488,156.02900392447867,324.7581787914418,442.854286986914,13.070544393448882
A3_both_arima,2025-10,140.84358715003287,140.03833203205087,240.5913412808378,350.984743958892,-7.702771693799737
A3_both_arima,2025-11,125.7949360185185,89.9660341998424,180.52442287714297,245.97639791374357,12.936402113875554
A3_both_arima,2025-12,176.476181167581,82.41821251098483,217.7591944160639,295.6720213454988,-3.133146936609142
C3_ridge_gate,2025-02,123.51450387379775,107.13193546871516,189.99671190183733,268.1257590545204,-64.53781996169529
C3_ridge_gate,2025-03,116.47122479533905,154.8749241136589,222.42999704218775,341.74975925230353,6.6175166378576975
C3_ridge_gate,2025-04,110.02476021700492,174.62595996491885,236.80836162337158,366.6334786799496,35.318146478707284
