strategy_id,month,total_cost_yuan,delta_total_cost_yuan,delta_planned_cost_yuan,delta_emergency_cost_yuan,delta_unused_kWh,delta_planned_kWh
C3_ridge_gate,2025-02,1210085.3278647468,-9794.4443462505,-10211.199701679638,416.75535542910893,-13281.36241702034,-12657.295941837365
C3_ridge_gate,2025-03,1137958.817248981,-12036.180570109747,-30482.064141274197,18445.883571164446,-45974.12769601616,-46273.98970152298
C3_ridge_gate,2025-04,970341.6518661525,6304.48433832149,-34267.57053941663,40572.054877738046,-49534.86895771965,-54913.60482930578
C3_ridge_gate,2025-05,992125.8113438659,-40025.701423067134,-26156.43471512245,-13869.266707944778,-40195.52764215425,-36440.07072722353
C3_ridge_gate,2025-06,1401575.6553197857,-56664.24370297068,-38647.669508508174,-18016.57419446252,-56079.37806503006,-51876.000318933045
C3_ridge_gate,2025-07,1483229.5683549305,-218199.818536825,-49984.547661710065,-168215.27087511503,-95936.11895668291,-62328.28029331751
C3_ridge_gate,2025-08,1287658.765513566,-11240.375678234035,-22367.193944668397,11126.81826643453,-30463.479505466006,-31785.45206380915
C3_ridge_gate,2025-09,1143566.9879594233,-24862.08580328431,-56947.440932605416,32085.35512932099,-77215.13116049522,-80670.65821137
C3_ridge_gate,2025-10,1130200.1754909765,-8624.648713545874,-30147.17116456735,21522.522451021276,-32192.87275619412,-33236.10750657902
C3_ridge_gate,2025-11,1268250.6251933018,-4832.47027028678,-6018.124801712809,1185.6545314258706,-8633.782146953483,-8876.988221067237
C3_ridge_gate,2025-12,1699599.8923270893,-53791.723950674525,-15749.98999575805,-38041.73395491637,-36033.02134500598,-27582.048957187682
