a_pv_n,a_pv_mae,a_pv_rmse,a_pv_bias,a_net_n,a_net_mae,a_net_rmse,a_net_bias,b_pv_n,b_pv_mae,b_pv_rmse,b_pv_bias,b_net_n,b_net_mae,b_net_rmse,b_net_bias,delta_pv_mae_kW,delta_pv_bias_kW,delta_net_mae_kWh,delta_net_bias_kWh,a_coverage,a_mean_shortfall_kWh,a_mean_surplus_kWh,a_mean_rho_kWh,a_protected_bias_kWh,b_coverage,b_mean_shortfall_kWh,b_mean_surplus_kWh,b_mean_rho_kWh,b_protected_bias_kWh,delta_protected_bias_kWh,pair,group_type,month
3270,200.29448735983686,331.2732884106959,3.3376308868501483,3270,42.066742559045906,59.27664998808503,5.951184868373766,3270,154.20805095310905,251.4083374900419,-30.889465810397553,3270,34.77459856835279,47.174858740279895,0.2466687521658151,-46.08643640672781,-34.2270966972477,-7.292143990693113,-5.704516116207951,0.8097859327217125,4.726872382993704,47.54294981900264,48.7672623043827,42.81607743600894,0.8336391437308869,2.9923850479367338,45.12646858741642,42.38075229164551,42.13408353947968,-0.6819938965292565,06:00_vs_00:00,month,2025-11
3379,165.64906411660257,304.3920338524278,0.8517396862977242,3379,41.41741960590834,61.13164186537448,6.972521505341872,3379,111.8848407566341,201.04355744240013,-15.8699548978988,3379,33.900573021728164,47.34429218858096,4.185572407975784,-53.76422335996847,-16.721694584196523,-7.516846584180179,-2.7869490973660875,0.8268718555785736,5.49162849894657,50.16229787547774,51.64319088187304,44.670669376531166,0.7949097366084641,5.52289358877273,36.95601365273474,35.61869247193779,31.433120063962008,-13.237549312569158,06:00_vs_00:00,month,2025-12
24382,155.33342222404508,287.93678839820683,-63.74173575998689,24382,41.314050405486604,58.22207897429097,-10.400545469330197,24382,96.53211307795368,175.19734414536143,-51.82834906488394,24382,32.79296722540366,44.2562988219719,-8.41498102014637,-58.8013091460914,11.91338669510295,-8.521083180082947,1.9855644491838262,0.7872610942498565,6.147399861763841,46.37430235607042,29.826357024976385,40.22690249430658,0.7886965794438521,4.791549056837054,36.28965858225681,23.083128505273386,31.498109525419757,-8.728792968886822,12:00_vs_06:00,,
2044,137.6876366193738,257.574530299276,-65.6424294520548,2044,34.40891880347364,50.34010348371406,-14.187110360190596,2044,82.50921985485972,147.28446454915937,-37.602271037181985,2044,26.901752826973205,36.26455621438668,-9.51375062437846,-55.17841676451407,28.040158414872813,-7.507165976500435,4.673359735812136,0.7813111545988258,4.762988173669418,34.47685264480324,15.526754110943221,29.713864471133817,0.776908023483366,3.835765691026551,26.956694469670214,13.607178154265199,23.12092877864366,-6.592935692490158,12:00_vs_06:00,month,2025-02
2263,160.49345925025776,295.2953437290476,-30.16694812196199,2263,36.10880744650034,52.023115590192035,1.3945976087391752,2263,92.13261105464723,166.75816045623714,-44.195915863897476,2263,24.85102796150154,33.164864665405815,-0.9435636815834036,-68.36084819561053,-14.028967741935485,-11.257779484998803,-2.338161290322579,0.7565178965974371,6.720343057525669,37.95998827426745,32.63424282548095,31.239645216741778,0.7839151568714097,4.033633169069753,27.335713689655346,22.358516839002192,23.30208052058559,-7.937564696156187,12:00_vs_06:00,month,2025-03
2190,153.84580676560122,262.5864946836713,-44.205046894977194,2190,34.009229556888236,47.342999444115826,-4.307246580472069,2190,109.17863426179605,190.8263052197805,-51.53424004566214,2190,26.964206735600154,37.51541586645452,-5.528778772252891,-44.667172503805176,-7.329193150684944,-7.045022821288082,-1.2215321917808222,0.8031963470319635,4.464290354635863,42.19523693238528,33.423699997277346,37.730946577749414,0.8004566210045662,3.6642444221411528,30.878098703464417,21.68507550907037,27.213854281323258,-10.517092296426156,12:00_vs_06:00,month,2025-04
2263,188.3059664309913,328.4865552660263,-125.80104582412729,2263,48.25981520983608,64.20832401668184,-12.154410295673951,2263,109.37704485933126,194.33475828393048,-68.70219748121963,2263,37.386451775829904,47.653240658320115,-2.63793557185601,-78.92892157166004,57.09884834290766,-10.873363434006173,9.516474723817941,0.792311091471498,6.625899542651004,57.10325043440216,38.32294059607721,50.47735089175116,0.7635881573133009,6.597393447237002,41.38706609426933,32.151737075176314,34.789672647032326,-15.687678244718832,12:00_vs_06:00,month,2025-05
2190,155.38381669710807,277.23363167255593,-46.83459831050229,2190,44.9428359353198,59.24260817057983,-2.4026948407001245,2190,109.15940939117198,192.64542393822765,-52.54292433789954,2190,39.218546540619336,49.89051951426097,-3.3540825119329973,-46.2244073059361,-5.708326027397256,-5.724289394700463,-0.9513876712328728,0.7867579908675799,8.608921379467112,51.84969251373461,40.83807629356736,43.2407711342675,0.7908675799086758,6.475438920058188,47.33097535439906,37.501453922407876,40.85553643434087,-2.3852346999266274,12:00_vs_06:00,month,2025-06
2263,159.05018856974516,306.39904337196316,-61.91754317277951,2263,49.119384244427984,68.10773428583732,-9.07746634200741,2263,106.09386317572543,193.32955553331522,-57.939665665046405,2263,42.11063247334681,55.532255798485494,-8.414486757385227,-52.95632539401973,3.977877507733105,-7.008751771081172,0.6629795846221835,0.799381352187362,8.413076589277708,57.64485650939913,40.15431357811401,49.231779920121426,0.8060097216084843,6.639355316150636,50.33443487523283,35.28059280169697,43.6950795590822,-5.536700361039223,12:00_vs_06:00,month,2025-07
2263,191.50253374576525,329.13798406340186,-85.89268603623509,2263,48.760276125195396,66.79697287530676,-26.745583411473127,2263,116.31024751067902,193.10428105286886,-59.63368789217853,2263,38.78536755598946,50.04392170389635,-22.36908372079703,-75.19228623508623,26.258998144056562,-9.974908569205937,4.3764996906760985,0.7874502872293416,6.891775318838838,51.599773027946426,17.962414297634457,44.70799770910759,0.8033583738400354,4.557308578664285,41.49625359876749,14.569861299306178,36.938945020103205,-7.769052689004383,12:00_vs_06:00,month,2025-08
