a_pv_n,a_pv_mae,a_pv_rmse,a_pv_bias,a_net_n,a_net_mae,a_net_rmse,a_net_bias,b_pv_n,b_pv_mae,b_pv_rmse,b_pv_bias,b_net_n,b_net_mae,b_net_rmse,b_net_bias,delta_pv_mae_kW,delta_pv_bias_kW,delta_net_mae_kWh,delta_net_bias_kWh,a_coverage,a_mean_shortfall_kWh,a_mean_surplus_kWh,a_mean_rho_kWh,a_protected_bias_kWh,b_coverage,b_mean_shortfall_kWh,b_mean_surplus_kWh,b_mean_rho_kWh,b_protected_bias_kWh,delta_protected_bias_kWh,group_type,month,clock,boundary,is_generation
2586,354.1478107367062,525.5929023780956,12.708182665179152,2586,68.61906392514526,95.79670112972258,2.7323696223161162,2586,345.50626124645527,486.98194551382176,-52.53374512761023,2586,61.981258863532425,84.15586541718449,-8.141285009815448,-8.641549490250952,-65.24192779278938,-6.637805061612831,-10.873654632131565,0.8252126836813611,10.736077502659528,89.27550497141209,81.27179709106868,78.53942746875256,0.8132250580046404,7.949235550768092,78.23534301673611,62.14482245615256,70.286107465968,-8.253320002784562,month_x_is_generation,2025-06,,,True
1845,2.0765286728432923,11.997124336761193,2.064608438873111,1845,34.45588604301082,44.10531116672038,2.8012624053906343,1845,2.1165145663956637,16.379882599694003,2.0981013595302622,1845,34.63813927748966,44.31654404864052,2.806844558833493,0.039985893552371365,0.03349292065715126,0.18225323447883568,0.005582153442858839,0.7929539295392954,6.347394048696213,41.46641755486984,37.920285911564264,35.11902350617363,0.7956639566395663,6.318918377769036,41.52694903963496,38.014875220699416,35.20803066186592,0.08900715569228623,month_x_is_generation,2025-07,,,False
2619,314.9057653369211,451.42412951036465,-72.28271039091454,2619,59.721906415582495,79.90428068831868,-9.313219645452179,2619,367.72783716113025,511.73540349509085,7.593465594374439,2619,73.46375959452779,98.6106379870844,3.9994763520959853,52.82207182420916,79.87617598528898,13.741853178945291,13.312695997548165,0.7747231767850324,10.500560309066191,69.42904609717736,49.615266142658996,58.92848578811117,0.7739595265368461,11.356762235536358,85.01703688324169,77.65975099980132,73.66027464770534,14.731788859594168,month_x_is_generation,2025-07,,,True
1960,1.9533679611073704,8.682272672300217,1.9416148998828806,1960,26.95447101649036,34.09781378457982,-12.1361508136989,1960,10.419588966836734,48.688314113440875,10.402953762755102,1960,27.372484090441155,34.71100232357533,-10.725927669886863,8.466221005729365,8.461338862872221,0.4180130739507959,1.4102231438120363,0.7989795918367347,3.5624871737291404,32.32091577915414,16.622277791726102,28.758428605425003,0.8010204081632653,3.6032894448831607,32.386987657350396,18.057770542580375,28.783698212467236,0.025269607042233133,month_x_is_generation,2025-08,,,False
2504,348.8263179696909,494.8387183780956,5.169759183160601,2504,65.23879320539609,88.34473273561278,-10.968949017243007,2504,468.7346236721247,679.7590955238629,-155.58615865615016,2504,84.83186129826976,122.4243178354038,-37.76160199046147,119.90830570243384,-160.75591783931077,19.593068092873665,-26.792652973218466,0.7815495207667732,11.401797430806187,74.68732712708118,52.31658067903197,63.285529696275,0.8134984025559105,8.388300616052883,96.59487965201338,50.44497704549903,88.20657903596049,24.92104933968549,month_x_is_generation,2025-08,,,True
2064,0.2826371049050073,1.86861095792721,0.26837605839337936,2064,36.81734915305049,49.30948482443306,-17.52201779479912,2064,5.723062423288114,28.128476640812103,5.710682093830749,2064,36.73089785374575,49.18569800164258,-16.614966788892886,5.440425318383107,5.44230603543737,-0.08645129930474127,0.9070510059062329,0.7538759689922481,5.453377472550105,37.762114516550454,14.786719249201228,32.30873704400034,0.7635658914728682,5.2394200624133145,39.133826340886394,17.27943948958019,33.89440627847308,1.5856692344727392,month_x_is_generation,2025-09,,,False
2256,283.64561596648366,407.936215790839,37.10364581545634,2256,61.93956581024637,83.31357005398182,-2.283761353910161,2256,434.966538885195,588.9435108400512,-4.915513094710411,2256,84.94125444120499,111.80183313184861,-9.286954505604621,151.32092291871135,-42.01915891016675,23.00168863095862,-7.00319315169446,0.8000886524822695,10.000776271624481,73.63018963831166,61.34565201277703,63.629413366687196,0.7526595744680851,14.572941617907322,78.45994598835287,54.600049864840926,63.88700437044556,0.25759100375836397,month_x_is_generation,2025-09,,,True
2310,0.058395862545099354,0.6196921599402165,0.04081378462302141,2310,19.53164774694084,25.130567684953846,3.6593392965865483,2310,9.168435205627706,49.62854772701712,9.15113286796537,2310,20.69839690408679,26.96582020432258,5.1777258104769395,9.110039343082606,9.110319083342349,1.1667491571459472,1.5183865138903911,0.7822510822510822,2.8217227621382266,22.33571959156026,23.173336126008582,19.513996829422034,0.7818181818181819,2.859541541443685,22.625118681611486,24.943302950644735,19.7655771401678,0.2515803107457657,month_x_is_generation,2025-10,,,False
2154,279.48638647368483,421.840497721123,-14.002088147917476,2154,52.58273559879288,73.43772405753164,4.361051924279471,2154,512.0600997949551,690.2271832326755,-187.14124198003714,2154,84.9797816976107,113.71554616489902,-24.49547371440714,232.5737133212703,-173.13915383211966,32.397046098817825,-28.856525638686612,0.8059424326833797,6.7675837520726345,63.36218814295048,60.955656315157306,56.59460439087784,0.7938718662952646,9.782862107096559,98.08695322257954,63.80861740107584,88.30409111548298,31.709486724605135,month_x_is_generation,2025-10,,,True
2381,0.056743868781153235,0.7376182021297617,0.0397137973825812,2381,17.133976881470865,21.421176188015362,5.444549142593116,2381,8.64272338303234,37.53199431197932,8.634811329273415,2381,17.94569136279651,22.669951917071913,6.877065397908254,8.585979514251187,8.595097531890833,0.8117144813256445,1.4325162553151376,0.8097438051238975,2.2100322978979845,20.8830045870528,24.117521431747928,18.672972289154814,0.8168836623267535,2.0707539079345194,22.283891082569514,27.09020257254325,20.213137174634994,1.5401648854801806,month_x_is_generation,2025-11,,,False
1939,200.2328477557306,284.6358434702653,17.560380096877722,1939,39.768519478460775,52.49782415755675,7.079786646004825,1939,327.1734555397971,428.1858516423714,-4.976850838060852,1939,57.76026819614178,74.31487726219092,3.3235814901817284,126.94060778406649,-22.537230934938574,17.991748717681006,-3.7562051558230967,0.8380608561113976,4.028264080335589,55.10610060455689,58.15762317022613,51.07783652422131,0.7993811242908716,6.664451027571957,63.8166973849659,60.47582784757568,57.15224635739394,6.074409833172631,month_x_is_generation,2025-11,,,True
2553,0.04523714430994234,0.31178351508623603,0.03431236490427234,2553,23.01372248408075,29.93090281836432,5.544573817979152,2553,1.3715449503851678,11.85805884779845,1.3548267365191276,2553,23.134703694820278,30.10488102074715,5.764659546581627,1.3263078060752254,1.3205143716148553,0.12098121073952939,0.22008572860247533,0.7920094007050529,4.149989095478635,27.30160596977358,28.696190692274097,23.151616874294945,0.7974931453192323,3.965807618398441,27.72143823542229,29.520290163605473,23.755630617023844,0.604013742728899,month_x_is_generation,2025-12,,,False
1911,180.53214286144987,253.9679710939287,-43.43486986268827,1911,42.813199194711295,56.93245025586152,3.5412284073834908,1911,291.066265406419,404.52736395218875,-0.30447098813885043,1911,57.510516392915584,77.89048077227058,10.729628219808392,110.53412254496914,43.130398874549414,14.697317198204289,7.188399812424901,0.837257980115123,6.212458070237279,59.039079945580895,56.36785028272711,52.82662187534362,0.826792255363684,7.8384624149473066,67.71728346274003,70.60844926760112,59.87882104779271,7.052199172449093,month_x_is_generation,2025-12,,,True
